                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.50316,                0.38644,                 1.0336,                0.79449,                0.79443,                0.78578,                0.58096,                 1.0267,                 1.1223,                 1.6252,              0.0001387,              0.0001387,              0.0001387
                     90,                0.51205,                 0.3826,                 1.0352,                0.79152,                0.79437,                0.79708,                0.58468,                 1.0239,                 1.1198,                 1.6427,              0.0001288,              0.0001288,              0.0001288
                     91,                0.42169,                0.37525,                0.98182,                0.79125,                0.79595,                0.78577,                0.58186,                  1.002,                 1.0966,                 1.6364,              0.0001189,              0.0001189,              0.0001189
                     92,                0.40672,                0.36075,                0.99938,                0.80063,                0.78351,                0.78945,                0.57856,                 1.0131,                 1.0788,                 1.6548,               0.000109,               0.000109,               0.000109
                     93,                0.37623,                0.34915,                0.96487,                0.80108,                0.80767,                0.80087,                0.59475,                0.99726,                 1.0123,                 1.6493,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.37549,                0.31867,                 0.9753,                0.81598,                0.80996,                0.80429,                 0.6073,                0.96163,                0.99797,                 1.6066,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.36011,                0.30576,                0.97617,                0.81216,                 0.7968,                0.80781,                0.60995,                0.97327,                 1.0353,                 1.6032,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.36566,                0.29941,                0.97469,                0.81077,                0.79871,                0.81186,                0.60803,                0.98515,                 1.0675,                 1.6129,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.37249,                0.30134,                0.97512,                0.81282,                0.80967,                0.81313,                0.60739,                0.98491,                 1.0777,                 1.6166,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.36073,                0.29453,                 0.9637,                0.81671,                 0.7977,                0.81689,                0.60803,                0.98388,                 1.0764,                 1.6229,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.35694,                0.29549,                0.96781,                0.81692,                0.79468,                0.81267,                0.60527,                0.99286,                 1.0821,                 1.6271,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.35054,                 0.2978,                0.96782,                0.79405,                0.76699,                0.80899,                0.59954,                0.99282,                 1.0732,                 1.6324,               2.98e-05,               2.98e-05,               2.98e-05
